,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
5677,Peejay74013626,"DJ switch ur head dey there, #Laycon said you played his song but #BBNajia robbed the viewers #BBNaija",2020-08-29 23:33:37+00:00,0,2,,#Laycon #BBNajia #BBNaija,
5678,ObserverDistant,"All these pple trying, yes trying to paint #BBNengi black, make we tok. Nengi said she goes after men she wants if they don't come for her. She clearly went for #BBOzo and even when he got hurt and withdrew, she still went for him. She made same choice twice. #BBNaija #Ozone",2020-08-29 23:33:37+00:00,1,4,,#BBNengi #BBOzo #BBNaija #Ozone,
5679,julietnwabs,Ozo is following Kidd and Nengi's conversation with his eyes #BBNaija,2020-08-29 23:33:37+00:00,0,3,,#BBNaija,
5680,MissGordons1,Nengi Nengs #BBNaija ,2020-08-29 23:33:37+00:00,0,3,,#BBNaija,
5681,GodswillTaiye,"Cersei and Jamie Lannister. I have missed game of thrones, thank you kiddnengi. My toilet ship. I Stan. #BBNaija",2020-08-29 23:33:36+00:00,2,17,,#BBNaija,
5682,itsyemie,SOMETHING WENT DOWN IN THAT TOILET. DONT TELL ME SHIT #BBNaijaLockdown #BBNaija,2020-08-29 23:33:36+00:00,0,1,,#BBNaijaLockdown #BBNaija,
5683,Rifumo98690316,aii nengi im going to sleep shem!!!!!am tired my tired is tired aii.#BBNaija,2020-08-29 23:33:35+00:00,0,1,,#BBNaija,
5684,ice__Queeen,Lmao Is Nengi seeking assurance of friendship too? . Ninjas should get ready to defend today #BBNaija,2020-08-29 23:33:35+00:00,0,4,,#BBNaija,
5685,Kwanda11252779,Lol Nengi really really really likes Kidd Kidd please give her all your attention #Bbnaija,2020-08-29 23:33:35+00:00,1,18,,#Bbnaija,
5686,UwahCatherine,"I love what trikytee is doing, Nengi stay away from kiddwaya #BBNaija",2020-08-29 23:33:35+00:00,0,4,,#BBNaija,
5687,Chubbytope,#BBNaija #Nengi likes #Kidd and will do anything to have him. She is just playing the game and catching cruise with #Ozo,2020-08-29 23:33:35+00:00,0,1,,#BBNaija #Nengi #Kidd #Ozo,
5688,kosy_myra,Lmaoooo Kidd oo #BBNaija,2020-08-29 23:33:34+00:00,0,3,,#BBNaija,
5689,cindy42805991,#Iconslovedjswitch #Iconslovedjswitch #Iconslovedjswitch #Iconslovedjswitch #BBNaija #LayCONSISTENT #Laycon #LAYCONtent,2020-08-29 23:33:34+00:00,3,6,,#Iconslovedjswitch #Iconslovedjswitch #Iconslovedjswitch #Iconslovedjswitch #BBNaija #LayCONSISTENT #Laycon #LAYCONtent,
5690,JLCPCB,"Only $2 for PCB Prototype, 24 Hours Fast Turn Order here https://jlcpcb.com/v JLCPCB The First Choice of Tech-Hackers!",2020-08-20 06:30:06+00:00,52,473,,,
5691,umehlynda2,"Y’all, we are not all wrong at the same time! You see? #BBNaija",2020-08-29 23:33:34+00:00,0,1,,#BBNaija,
5692,olaseni_aa,Looool see nengi giving Kidd sex eyes and baby voice. She wants the Kidd #BBNaija,2020-08-29 23:33:34+00:00,0,2,,#BBNaija,
5693,morrewaa,be like say kidd na the fake housemate #BBNaija,2020-08-29 23:33:34+00:00,0,5,,#BBNaija,
5694,qondisile_m,Yoooh Tranquility please move #BBNaija,2020-08-29 23:33:33+00:00,0,1,,#BBNaija,
5695,the_jerrymanuel,Thirsty Nengi. #BBNaija,2020-08-29 23:33:33+00:00,0,1,,#BBNaija,
5696,Thobza27938209,Ozo please help us help you practise social distancing pleaseeeeeeee #Bbnaija,2020-08-29 23:33:33+00:00,2,9,,#Bbnaija,
5697,stellan_1,Nengi is drunk oooo #BBNaija,2020-08-29 23:33:33+00:00,0,1,,#BBNaija,
5698,CheduJulius,Can bigbrother end .....if you watch carefully y’all will see Nengi is like a coin ....she’s has the innocent side and the side that she don’t display more often which she does once she’s drunk #bbnaija,2020-08-29 23:33:33+00:00,0,1,,#bbnaija,
5699,Mhizz_calie,It’s Ozo why?? #Bbnaija,2020-08-29 23:33:33+00:00,0,0,,#Bbnaija,
5700,AmeliaranneZ,"Biggie please give them alcohol, we are ready for premium tears. They can't sleep now #BBNaija ",2020-08-29 23:33:33+00:00,0,4,,#BBNaija,
5701,Shumza_R,"Nengi & Kidd don’t seem like they’re about to catch feelings for anybody in that house. For them it’s a game and having fun,period and #BBNaija is exactly that, a GAME. It’s my favs Erica &amp; Ozo who wear their hearts on their sleeves that I pity sha but all will be fine las las!",2020-08-29 23:33:33+00:00,0,3,,#BBNaija,
5702,IamKateMcCathy2,And tomorrow she will be upset with Ozo helping another girl exercise #bbnaija ,2020-08-29 23:33:32+00:00,0,14,,#bbnaija,
5703,uNoku_Mash, #BBNaija,2020-08-29 23:33:32+00:00,0,0,,#BBNaija,
5704,Judlyn3,Brother Kiddwaya don't distance urself again... My bby gal hates bad blood #BBNaija,2020-08-29 23:33:32+00:00,0,6,,#BBNaija,
5705,_kaeycee,"Wish I could send Ozo a secret message. But at the same time, I know he won’t listen #BBNaija",2020-08-29 23:33:32+00:00,0,3,,#BBNaija,
5706,ay_greatness,"Omo, Ozo dey try oh #BBNaija",2020-08-29 23:33:32+00:00,0,1,,#BBNaija,
5707,SSteph30,Swears #PrinceTheVibe #BBNaija,2020-08-29 23:33:32+00:00,0,0,,#PrinceTheVibe #BBNaija,
5708,kib60559525,"Like @ebuka said, nenKidd is the new ship #BBNaija",2020-08-29 23:33:31+00:00,0,1,@Ebuka,#BBNaija,
5709,doctor__star,I hope y'all shippers maintain the same energy you used to drag Erica for Kidd too! #BBNaija #BBNaijaLockdown,2020-08-29 23:33:31+00:00,0,5,,#BBNaija #BBNaijaLockdown,
5710,Bugoflagos,"Nengi and Kidd should just carry on, they both fit, Ozo and Erica are just equilateral damage #BBNaija",2020-08-29 23:33:31+00:00,0,15,,#BBNaija,
5711,JLCPCB,"JLCPCB Prototype For $2/5pcs, 24 Hours Quick Turnaround. Get $23 Coupons For New Customer Free PCB SMT + $24 Coupons Monthly Order Here https://jlcpcb.com/v",2020-08-20 06:31:12+00:00,68,716,,,
5712,wuksbackup,Nengi is a terrible human being. Period. Nobody can tell me different about this girl. Now she is telling Kidd why does he distance himself from her? This girl no be person. And her fans call Erica needy? Nengi will continue to call U ppl liars. #bbnaija,2020-08-29 23:33:31+00:00,10,39,,#bbnaija,
5713,NyoonaM,Kiddengi shippers...i'm creating a page on IG asap #BBNaija ,2020-08-29 23:33:31+00:00,0,7,,#BBNaija,
5714,Laue31517112," OZOOOOO TAKE NENGI TO SLEEP SHE IS DRUNK OOO, this ship don stress me #BBNaija",2020-08-29 23:33:30+00:00,1,2,,#BBNaija,
5715,LORDICHE1,"This girl is a pretender,she's using this boy and making him play along her manipulation. Trust me she just sent him a code (travel better)...#BBNaija. #bbnaijalockdown2020 #BBNaijaLockdown",2020-08-29 23:33:30+00:00,0,8,,#BBNaija #bbnaijalockdown2020 #BBNaijaLockdown,
5716,seunalonge55,Wetin Triky tee dey look for now... he should just leave there already #BBNaija,2020-08-29 23:33:30+00:00,0,0,,#BBNaija,
5717,UdehAngela1,Pikin leave Nengi alone. #BBNaija ,2020-08-29 23:33:30+00:00,0,1,,#BBNaija,
5718,ojuelebgacardib,This Nengi and Ozo situation is not balanced and it’s very weird. One minute they’re talking about not playing with other people another minute they’re siblings. Abeg I’ve remove my hand. Nengi remains a queen #BBNaija ,2020-08-29 23:33:29+00:00,3,13,,#BBNaija,
5719,setongeo,"Ozo and Erica should know they aren’t in relationships, the 2 people they have feelings for are not that into them. #BBNaija",2020-08-29 23:33:29+00:00,0,13,,#BBNaija,
5720,UpgradeLady,Nengi likes Kidd more than a brother know this and know peace #BBNaija ,2020-08-29 23:33:29+00:00,1,15,,#BBNaija,
5721,Nwanyimanari,Ozone shippers now. #BBNaija ,2020-08-29 23:33:28+00:00,1,16,,#BBNaija,
5722,__Tonye,Pain #BBNaija ,2020-08-29 23:33:28+00:00,5,28,,#BBNaija,
5723,GoodOldJane,"Wtf Kidd...did he just say that Which one is ""I got bored with you"" That's hurtful man...dis kain bluntness #BBNaija",2020-08-29 23:33:28+00:00,1,10,,#BBNaija,
5724,Chii_omah,Nengi has thrown me into a state of confusion #BBNaija,2020-08-29 23:33:28+00:00,2,5,,#BBNaija,
5725,PowerfulMunee,They are siblings know this and know peace #BBNaija,2020-08-29 23:33:28+00:00,0,2,,#BBNaija,
5726,justkiym,See ozo eyeing Kidd #BBNaija,2020-08-29 23:33:28+00:00,1,3,,#BBNaija,
5727,HumphreyNina,Nengi baby what’s happening #BBNaija,2020-08-29 23:33:27+00:00,1,1,,#BBNaija,
5728,Pweediiey2,I knew it Nengi want kidd #bbnaija,2020-08-29 23:33:27+00:00,1,7,,#bbnaija,
5729,Saneugene,The guy really dey behind for street #BBNaija,2020-08-29 23:33:27+00:00,0,0,,#BBNaija,
5730,mpho_mabeleng,Poor Ozo #BBNaija,2020-08-29 23:33:27+00:00,0,1,,#BBNaija,
5731,MirriamMonta3,Nengi she is a golddigger #BBNaija,2020-08-29 23:33:27+00:00,0,4,,#BBNaija,
5732,JLCPCB,"Only $2 for PCB Prototype, 24 Hours Fast Turn Order here https://jlcpcb.com/v JLCPCB The First Choice of Tech-Hackers!",2020-08-20 06:30:06+00:00,52,473,,,
5733,awemmy1,God please give ozo sense #BBNaija ,2020-08-29 23:33:27+00:00,0,11,,#BBNaija,
5734,GcinileU,God #BBNAIJA,2020-08-29 23:33:26+00:00,0,0,,#BBNAIJA,
