"","date","Count","word"
"282",2020-08-21 19:08:05,1,"goal"
"283",2020-08-21 19:08:07,2,"goal"
"284",2020-08-21 19:08:10,1,"goal"
"285",2020-08-21 19:08:11,1,"goal"
"286",2020-08-21 19:08:12,5,"goal"
"287",2020-08-21 19:08:14,2,"goal"
"288",2020-08-21 19:08:15,2,"goal"
"289",2020-08-21 19:08:16,1,"goal"
"290",2020-08-21 19:08:17,3,"goal"
"291",2020-08-21 19:08:19,2,"goal"
"292",2020-08-21 19:08:20,2,"goal"
"293",2020-08-21 19:08:23,3,"goal"
"294",2020-08-21 19:08:24,2,"goal"
"295",2020-08-21 19:08:28,2,"goal"
"296",2020-08-21 19:08:29,2,"goal"
"297",2020-08-21 19:08:31,3,"goal"
"298",2020-08-21 19:08:32,2,"goal"
"299",2020-08-21 19:08:34,1,"goal"
"300",2020-08-21 19:08:35,2,"goal"
"301",2020-08-21 19:08:37,1,"goal"
"302",2020-08-21 19:08:38,2,"goal"
"303",2020-08-21 19:08:41,1,"goal"
"304",2020-08-21 19:08:43,2,"goal"
"305",2020-08-21 19:08:45,1,"goal"
"306",2020-08-21 19:08:46,1,"goal"
"307",2020-08-21 19:08:47,1,"goal"
"308",2020-08-21 19:08:49,1,"goal"
"309",2020-08-21 19:08:53,2,"goal"
"310",2020-08-21 19:08:54,2,"goal"
"311",2020-08-21 19:08:56,1,"goal"
"312",2020-08-21 19:08:57,3,"goal"
"313",2020-08-21 19:08:58,1,"goal"
"314",2020-08-21 19:09:00,3,"goal"
"315",2020-08-21 19:09:02,1,"goal"
"316",2020-08-21 19:09:03,2,"goal"
"317",2020-08-21 19:09:04,2,"goal"
"318",2020-08-21 19:09:05,4,"goal"
"319",2020-08-21 19:09:08,6,"goal"
"320",2020-08-21 19:09:09,3,"goal"
"321",2020-08-21 19:09:10,2,"goal"
"322",2020-08-21 19:09:11,2,"goal"
"323",2020-08-21 19:09:15,2,"goal"
"324",2020-08-21 19:09:16,2,"goal"
"325",2020-08-21 19:09:17,1,"goal"
"326",2020-08-21 19:09:19,2,"goal"
"327",2020-08-21 19:09:23,1,"goal"
"328",2020-08-21 19:09:24,3,"goal"
"329",2020-08-21 19:09:25,1,"goal"
"330",2020-08-21 19:09:26,1,"goal"
"331",2020-08-21 19:09:27,1,"goal"
"332",2020-08-21 19:09:28,1,"goal"
"333",2020-08-21 19:09:29,1,"goal"
"334",2020-08-21 19:09:30,1,"goal"
"335",2020-08-21 19:09:31,2,"goal"
"336",2020-08-21 19:09:33,1,"goal"
